Ref,Val,Package,PosX,PosY,Rot,Side
"","","",133.225000,-126.650000,0.000000,top
"","","",193.475000,-126.700000,0.000000,top
"14.8V","TX","PinHeader_1x01_P1.00mm_Horizontal",139.525000,-65.075000,180.000000,top
"C3","100μF","CP_Elec_4x3",152.255000,-109.125000,0.000000,top
"C5","0.1μF","C_0603_1608Metric",167.855000,-96.900000,90.000000,top
"C6","0.1μF","C_0603_1608Metric",177.675000,-84.100000,180.000000,top
"C8","100μF","CP_Elec_4x3",187.350000,-99.400000,-90.000000,top
"C9","0.1μF","C_0603_1608Metric",148.200000,-62.200000,-90.000000,top
"C11","100μF","CP_Elec_4x3",163.650000,-50.825000,180.000000,top
"C16","10μF","C_0603_1608Metric",147.975000,-69.495000,-90.000000,top
"C17","10μF","C_0603_1608Metric",143.575000,-74.995000,0.000000,top
"C18","10μF","C_0603_1608Metric",146.825000,-76.245000,90.000000,top
"D2","LED","LED_0201_0603Metric",171.955000,-83.680000,-90.000000,top
"GND","TX","PinHeader_1x01_P1.00mm_Horizontal",139.500000,-62.925000,180.000000,top
"GND","RX","PinHeader_1x01_P1.00mm_Horizontal",138.700000,-89.825000,180.000000,top
"JoyStick","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",153.200000,-122.450000,90.000000,top
"L1","10μH","L_0201_0603Metric",143.920000,-77.320000,180.000000,top
"OUT01","OUT1","PinHeader_1x01_P1.00mm_Horizontal",158.005000,-110.450000,90.000000,top
"OUT02","OUT2","PinHeader_1x01_P1.00mm_Horizontal",160.205000,-110.425000,90.000000,top
"OUT03","OUT3","PinHeader_1x01_P1.00mm_Horizontal",162.405000,-110.450000,90.000000,top
"OUT11","OUT1","PinHeader_1x01_P1.00mm_Horizontal",189.050000,-93.225000,180.000000,top
"OUT12","OUT2","PinHeader_1x01_P1.00mm_Horizontal",189.075000,-91.050000,180.000000,top
"OUT13","OUT3","PinHeader_1x01_P1.00mm_Horizontal",189.050000,-88.925000,180.000000,top
"OUT21","OUT1","PinHeader_1x01_P1.00mm_Horizontal",157.175000,-50.375000,-90.000000,top
"OUT22","OUT2","PinHeader_1x01_P1.00mm_Horizontal",155.025000,-50.350000,-90.000000,top
"OUT23","OUT3","PinHeader_1x01_P1.00mm_Horizontal",152.875000,-50.375000,-90.000000,top
"PB8_SCL","RX","PinHeader_1x01_P1.00mm_Horizontal",138.775000,-82.650000,180.000000,top
"PB9_SDA","TX","PinHeader_1x01_P1.00mm_Horizontal",138.780082,-80.525409,180.000000,top
"R1","100KΩ","R_0201_0603Metric",150.550000,-87.750000,-90.000000,top
"R2","2.2KΩ","R_0201_0603Metric",106.750000,-72.995000,-90.000000,top
"R4","10KΩ","R_0201_0603Metric",143.650000,-67.320000,0.000000,top
"R5","45.3KΩ","R_0201_0603Metric",140.325000,-69.320000,90.000000,top
"R6","1KΩ","R_0201_0603Metric",170.155000,-84.000000,0.000000,top
"R7","10KΩ","R_0201_0603Metric",148.650000,-87.725000,-90.000000,top
"R8","1KΩ","R_0201_0603Metric",160.895000,-118.255000,90.000000,top
"R9","1KΩ","R_0201_0603Metric",163.495000,-118.255000,90.000000,top
"RX","RX","PinHeader_1x01_P1.00mm_Horizontal",138.700000,-87.675000,180.000000,top
"SWCLK","SWCLK","PinHeader_1x01_P1.00mm_Horizontal",159.875000,-75.125000,90.000000,top
"SWDIO","SWDIO","PinHeader_1x01_P1.00mm_Horizontal",162.000000,-75.125000,90.000000,top
"TX","TX","PinHeader_1x01_P1.00mm_Horizontal",138.705082,-85.550409,180.000000,top
"ToggleBtn1","SW_Push","SW_Push_1P1T_NO_CK_PTS125Sx85PSMTR",173.150000,-70.800000,-90.000000,top
"U1","STM32G431CBTx","LQFP-48_7x7mm_P0.5mm",157.375000,-83.812500,0.000000,top
"U2","ICM-20602","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",109.425000,-75.000000,0.000000,top
"U3","DRV8313PWP","SOP65P640X120-29N",160.350000,-96.800000,90.000000,top
"U5","DRV8313PWP","SOP65P640X120-29N",155.480000,-62.125000,-90.000000,top
"U6","DRV8313PWP","SOP65P640X120-29N",177.550000,-91.650000,180.000000,top
"U7","TPS54302","SOT-23-6",143.622502,-69.670000,180.000000,top
"VOUT","TX","PinHeader_1x01_P1.00mm_Horizontal",138.800000,-78.375000,180.000000,top
